,Topic Num,Num Documents
0,10,43417
1,12,21960
2,9,17647
3,5,12412
4,4,11316
5,11,8757
6,3,8721
7,14,7296
8,1,6983
9,8,6087
10,13,5477
11,6,3263
12,2,2553
13,0,1320
14,7,1144
